ballpark,park_factor,pa
coors_field,112,56537
fenway_park,107,57350
great_american_ballpark,105,56113
kauffman_stadium,104,56788
target_field,102,56874
chase_field,101,57491
pnc_park,101,56717
loandepot_park,101,56832
citizens_bank_park,101,59030
globe_life_field,101,57150
nationals_park,101,55170
angels_stadium,100,55854
rogers_centre,100,56362
dodger_stadium,100,59029
busch_stadium,100,55932
minute_maid_park,100,57080
truist_park,100,56162
yankee_stadium,100,59223
camden_yards,99,55857
guaranteed_rate_field,99,57822
comerica_park,98,55344
progressive_field,97,56438
oakland_coliseum,97,55403
wrigley_field,97,55217
american_family_field,97,57190
oracle_park,97,55227
citi_field,97,58441
tropicana_field,96,55802
petco_park,96,58146
t_mobile_park,91,55886
